GEOID,pop_pov,pov_rt
06013340001,6289,18.9
06013340002,7417,3
06013341000,5433,2.1
06013343001,4725,7.9
06013343002,4687,4.2
06013343003,3872,1.1
06013345101,5997,5.6
06013345102,3773,6
06013345103,4894,4.2
06013345105,6796,6.5
06013345108,7360,3.4
06013345111,5375,3.9
06013345112,5931,1.7
06013345113,4434,2.2
06013345114,6700,5.1
06013345115,5846,2.8
06013345116,2787,2.8
06013345202,7394,2.1
06013345203,6841,2.1
06013345204,3995,3.3
06013346101,3451,3
06013346102,5655,2.5
06013346201,7377,1.6
06013346203,3760,6.1
06013346204,7444,0.6
06013347000,6194,0.7
06013348000,4897,2.7
06013349000,5566,9
06013350000,6420,6
06013351101,2655,2.5
06013351102,3499,9.2
06013351103,1863,3.7
06013351200,6195,0
06013352101,2112,2
06013352102,5140,2.6
06013352201,5934,5.6
06013352202,2540,6.1
06013353001,3973,4
06013353002,4517,1.8
06013354001,2113,4.9
06013354002,6928,1.9
06013355107,5306,6.2
06013355108,12935,6
06013355109,7375,11
06013355110,4279,5.1
06013355111,6093,8.6
06013355112,5340,7.3
06013355113,5134,1.5
06013355114,11564,4.7
06013355115,7772,11.2
06013355116,8105,2.3
06013355117,7189,0.1
06013355200,10587,6.2
06013355301,8106,5.6
06013355302,3494,1.8
06013355304,8602,3.4
06013355306,5226,1.9
06013356001,4360,11.6
06013356002,5117,2.2
06013357000,3179,9.1
06013358000,6262,19.1
06013359102,5786,5.4
06013359103,4833,6.1
06013359104,2005,8.2
06013359105,4877,2
06013359202,6127,4.8
06013359203,7109,7
06013359204,5062,4.1
06013360101,4644,8.1
06013360102,4218,4.5
06013360200,4884,7.3
06013361000,5054,9.1
06013362000,3243,5.8
06013363000,6950,6
06013364002,5884,10.5
06013365002,5715,27.9
06013365003,5185,6.7
06013366001,4572,11.1
06013366002,6224,11.6
06013367100,5082,17.7
06013367200,5750,21.7
06013368001,5048,19.7
06013368002,3618,19.3
06013369001,7043,32.3
06013369002,2660,16.3
06013370000,2787,13.5
06013371000,5997,14.9
06013372000,7479,10.3
06013373000,4257,19.4
06013374000,4662,20.2
06013375000,4755,16.7
06013376000,5671,23.7
06013377000,6934,27.1
06013378000,3186,6.6
06013379000,6387,21.3
06013380000,6150,10.7
06013381000,6541,28
06013382000,7557,20.7
06013383000,4586,11.7
06013384000,4034,9.2
06013385100,2981,4.6
06013385200,1157,4.4
06013386000,3690,17.1
06013387000,2958,10.6
06013388000,2719,9.5
06013389100,1970,4.7
06013389200,1750,15.3
06013390100,2423,3.4
06013390200,1729,4.9
06013391000,2698,5.9
06013392000,2748,7.8
06013392200,11446,10.8
06013392300,3122,6.4
06013990000,0,-
06015000101,3660,35
06015000102,3338,33.9
06015000104,2121,33.2
06015000105,6219,10.1
06015000201,3448,19.9
06015000202,4074,18.8
06015000203,1110,33.9
06015990000,0,-
06017030200,5103,10.2
06017030301,2874,16.7
06017030302,2718,19.5
06017030401,3692,8.7
06017030402,3919,19
06017030502,2624,5.8
06017030504,2433,9.5
06017030505,2336,5.5
06017030601,5162,3.4
06017030602,7203,13.1
06017030603,3304,12.4
06017030701,6395,3.2
06017030704,7684,6.6
06017030706,6043,4.4
06017030709,4722,1.5
06017030710,4879,2.6
06017030801,4602,4.1
06017030803,7606,7.7
06017030804,6779,6.7
06017030807,4270,6
06017030808,6529,3.7
06017030809,2557,13.8
06017030810,3819,26.3
06017030901,3242,4.2
06017030902,4728,5
06017031000,5663,20.7
06017031100,4910,11
06017031200,4682,9.6
06017031301,3651,12.8
06017031302,5169,22.4
06017031402,5699,12.6
06017031404,2287,11
06017031405,2332,4.3
06017031406,5572,13.3
06017031502,6225,15.4
06017031503,2550,10.8
06017031504,5336,11.8
06017031600,3017,24.2
06017031700,2902,0.5
06017031800,7426,6.5
06017031900,79,13.9
06017032000,596,4.5
06017990000,0,-
06019000100,732,46.2
06019000200,2953,50.8
06019000300,3695,50.2
06019000400,6233,51.5
06019000501,2316,57.6
06019000502,3194,47.3
06019000600,4558,55.7
06019000700,3559,38.8
06019000800,1160,47.6
06019000901,2877,43.3
06019000902,4751,65.3
06019001000,3791,45.4
06019001100,2649,41.6
06019001201,5752,37.9
06019001202,4738,35.9
06019001301,5613,44.1
06019001303,2427,39.6
06019001304,5265,44.5
06019001407,4418,50.5
06019001408,2091,24.7
06019001409,2042,14.7
06019001410,11291,16.8
06019001411,6826,23
06019001412,3095,10.7
06019001413,5964,8.6
06019001414,8409,19.1
06019001500,2471,29.4
06019001600,4924,22.5
06019001700,6400,21.6
06019001800,4670,15.4
06019001900,2852,22.6
06019002000,6666,53.4
06019002100,5754,28.1
06019002200,3624,26.9
06019002300,3615,48.6
06019002400,4383,48.9
06019002501,5048,48
06019002502,4719,70
06019002601,5222,52
06019002602,3638,26
06019002701,4233,36.5
06019002702,4964,53.5
06019002800,4474,50.8
06019002903,4250,51.5
06019002904,3130,28
06019002905,3059,39.3
06019002906,5385,33
06019003001,3406,25.5
06019003003,4443,50.1
06019003004,2547,28.4
06019003102,7036,26.5
06019003103,5474,37
06019003104,4018,22.7
06019003201,5173,33.6
06019003202,5239,37.3
06019003301,2809,31.9
06019003302,4879,37.8
06019003400,5287,47.4
06019003500,5443,37.5
06019003600,4179,18.9
06019003701,3448,32.6
06019003702,4527,38
06019003803,10006,11.2
06019003804,6031,15.6
06019003805,6995,38.9
06019003807,3317,37.5
06019003808,4989,14.9
06019003809,5283,22.9
06019003810,5750,26.2
06019003900,5998,27.4
06019004001,7992,22.3
06019004002,7495,20.6
06019004100,3045,24.3
06019004205,6390,34.1
06019004207,9937,17.2
06019004208,7857,8.9
06019004210,3553,20.2
06019004211,7325,9.7
06019004212,12582,28.1
06019004213,3585,6.9
06019004214,4654,8.4
06019004215,4706,1.4
06019004216,2906,9.5
06019004301,3977,2.2
06019004302,5107,4.4
06019004303,4298,14.3
06019004404,3093,33
06019004405,3961,2.2
06019004406,5165,8.9
06019004408,3568,8.1
06019004409,3471,10
06019004503,5031,8.8
06019004504,4838,21.2
06019004505,5340,34.7
06019004506,3194,7
06019004601,3274,18.8
06019004602,2456,12.4
06019004701,7446,28.8
06019004703,4270,32.1
06019004704,5120,46.7
06019004801,5237,33.2
06019004802,4922,43.2
06019004901,3566,19.5
06019004902,2045,20.7
06019005000,4261,17.7
